id,subject,description,status,priority,created_at,category,template_text
1,Defective item received in my order,"I recently purchased a wireless keyboard from your store, but one of the keys keeps getting stuck. I’ve tried resetting it and even replacing the batteries, but the issue persists. Can you help me with a replacement or a solution?",open,high,2023-10-18T14:23:00Z,Product Issues,"Thank you for bringing this to our attention. We’re sorry about the inconvenience and will assist you with the replacement process. Please provide your order number, and we’ll get this sorted out for you."
2,Defective product received in the package,"I recently placed an order and received the item today. Unfortunately, it appears to be defective as it doesn't function as advertised. I would like to know the process for getting a replacement or refund.",open,high,2023-10-15T14:32:07Z,Product Issues,"We apologize for the inconvenience. Please provide photos of the defective product, and we'll assist you with a replacement or refund promptly."
3,Request for Refund on Defective Item,I received an item last week and it doesn't work as described. I've tried reaching out previously but haven't gotten a resolution. I'd like to get a refund as soon as possible.,open,high,2023-10-19T14:32:00Z,Returns and Refunds,Thank you for reaching out. We're sorry to hear about this issue with your item. We’ve forwarded your request to our returns team who will get back to you within 48 hours.
4,Double charge on my credit card,I noticed that my credit card has been charged twice for my last order. Could you please help me resolve this? I need this fixed as soon as possible.,open,high,2023-10-15T14:32:00Z,Billing Issues,Thank you for reaching out. We apologize for the inconvenience caused. We are looking into this issue and will get back to you shortly with a resolution.
5,Received damaged product in shipment,"I just received my order today, but the product is damaged. The outer packaging was fine, but the item inside is broken. I need a replacement or a refund as soon as possible.",open,high,2023-10-20T14:27:35Z,Product Issues,Thank you for reaching out! We're sorry to hear about the damaged product. Please provide a picture of the damaged item so we can assist you with a replacement or refund promptly.
6,Defective product received in recent order,"I just received my order yesterday, but one of the items is defective. The screen has a crack, and it doesn't turn on at all. Can you let me know how to proceed with a replacement or refund?",open,high,2023-10-23T14:42:00Z,Product Issues,We're sorry to hear about the defective item. Please provide us with your order number and a photo of the damaged product so we can assist you with a replacement or refund promptly.
7,Double charge on my credit card,I noticed that I was charged twice for the same purchase on my credit card statement. Can you please look into this and help me resolve the issue? I need the extra charge refunded as soon as possible.,open,high,2023-10-20T14:45:30Z,Billing Issues,Thank you for bringing this to our attention. I’ve escalated this to our billing team for further review and will update you as soon as we have more information. Please allow 1–2 business days for us to investigate.
8,Error message when opening the app,"Hi, I keep getting an 'Error 503: Server Unavailable' message every time I try to open the app on my phone. I’ve tried restarting my device and reinstalling the app, but the issue persists. Can you help me fix this?",open,high,2023-10-25T14:32:45Z,Technical Support,Thank you for reaching out! We’re sorry for the inconvenience. Could you please confirm the version of the app you’re using and your device model so we can investigate further?
9,Example issue in Product Issues,Placeholder description for Product Issues,pending,normal,2025-09-18T13:14:40.267430,Product Issues,Thanks for contacting us about your product issues issue. We’ll look into it.
10,Package delayed beyond the estimated date,"I ordered a product from your website two weeks ago, and the estimated delivery date was three days ago. I have not received any updates regarding the delay, and the tracking information has not changed. Can you please provide an update on the status of my package?",pending,high,2023-10-30T14:23:00Z,Shipping and Delivery,We apologize for the delay with your package. We're currently reaching out to the carrier to get an update on the status and will provide you with the latest details as soon as possible.
11,Incorrect charge on my recent bill,I noticed an extra charge on my credit card statement for this month that I don’t recognize. Can you please clarify what this charge is for? I need to get this resolved as soon as possible.,open,high,2023-10-30T14:23:45Z,Billing Issues,Thank you for reaching out! We’re sorry for the inconvenience. Let me look into your account details to clarify the charge in question and assist you further.
12,Defective item received in recent order,"I recently purchased a fitness tracker from your website, but it stops working intermittently and doesn’t charge properly. I tried different charging cables, but the issue persists. Can you assist with a resolution?",open,high,2023-10-21T14:35:00Z,Product Issues,Thank you for reaching out. We apologize for the inconvenience caused. Could you provide the order number and any photos of the issue so we can assist you better?
13,Request for refund on damaged item,"I received my order yesterday, but the item was damaged upon arrival. I would like to return it and request a full refund. Please let me know how to proceed with the process.",pending,high,2023-10-22T14:32:00Z,Returns and Refunds,Thank you for reaching out to us. I'm sorry to hear about the damaged item. I’ve initiated the return process for you and will send detailed instructions shortly.
14,Defective product received in the mail,"I ordered a vacuum cleaner from your website last week and it arrived yesterday. However, it doesn't turn on when plugged in, and the power button seems to be stuck. Can I get a replacement or a repair for this?",open,high,2023-10-25T14:32:00Z,Product Issues,"Thank you for reaching out to us. We’re sorry to hear about the issue with your vacuum cleaner. Please provide the order number, and we'll assist you in arranging a replacement or repair as quickly as possible."
15,Unable to update email address on account,"I’ve been trying to update my email address in my account settings, but I keep receiving an error message. I need to update it because my old email is no longer active. Please assist me in resolving this issue.",open,normal,2023-10-15T08:32:45Z,Account Management,"Thank you for reaching out. I’ve escalated this issue to our technical team to investigate further. In the meantime, could you confirm the new email address you’d like to use?"
16,Package not delivered by estimated date,"I was expecting my package to arrive two days ago, but I still haven’t received it. The tracking information hasn’t updated for three days, and I’m concerned it might be lost. Can you help me find out what’s going on?",open,normal,2023-10-05T14:23:45Z,Shipping and Delivery,Thank you for reaching out. I’ve checked your tracking information and it appears the package is delayed due to unforeseen circumstances. I’ll follow up with the carrier and provide you with an update as soon as possible.
17,Package not delivered on time,"I was expecting my package to arrive yesterday based on the shipping details provided during checkout. However, it still hasn't arrived, and the tracking information hasn't updated for two days. Can you please help me understand the delay and provide an update?",pending,high,2023-10-18T14:43:21Z,Shipping and Delivery,Thank you for reaching out! I’ve contacted the shipping partner to investigate the delay and will provide you with an update as soon as I receive more information. We apologize for any inconvenience caused.
18,Request for refund on damaged item,"I received my order yesterday, but the item was damaged when I opened the package. I would like to request a refund or replacement for the product. Can you please assist me with the process?",open,high,2023-10-05T15:23:45Z,Returns and Refunds,Thank you for reaching out. We’re sorry to hear about the damaged item. Can you please provide photos of the damage and your order number so we can assist you further?
19,Request for refund on defective item,"I recently purchased a coffee maker from your store, but it stopped working after just two days. I'd like to know how to return it and get a refund. Please advise on the next steps.",pending,high,2023-10-10T14:38:21Z,Returns and Refunds,"Thank you for contacting us. We’re sorry to hear about the issue with your coffee maker. I’ve forwarded this to our returns team, and they will provide you with a prepaid return label and refund instructions shortly."
20,Incorrect charge on my billing statement,I noticed an extra charge on my credit card that I don’t recognize. It’s dated October 15th and doesn’t match any purchase I made. Could you please clarify what this is for?,open,normal,2023-10-18T14:23:45Z,Billing Issues,Thank you for bringing this to our attention. We will review your billing history and get back to you with more details shortly.
21,Unable to connect to Wi-Fi network,"I recently purchased one of your routers and I'm having trouble connecting to my Wi-Fi network. I've followed the setup guide, but it still doesn't work. Can you help me resolve this issue?",open,high,2023-10-25T14:32:10Z,Technical Support,Thank you for reaching out! Please ensure that the router's firmware is up to date and check if the network name and password are entered correctly. Let us know if you still face issues.
22,Charged twice for my subscription,I just noticed on my credit card statement that I was charged twice for this month’s subscription. Can you please check and issue a refund for the duplicate charge? I rely on your service and hope this can be resolved quickly.,open,high,2023-10-10T14:23:45Z,Billing Issues,"Thank you for bringing this to our attention. We’ve reviewed your account and confirmed the duplicate charge, and I’ve issued a refund. You should see it reflected on your account within 3–5 business days. Please let us know if you need further assistance!"
23,Request for information on product warranty,"Hi, I recently purchased one of your products and wanted to know more about the warranty coverage details. Could you please provide information on what is included and the duration of the warranty?",pending,normal,2023-10-25T14:35:00Z,General Inquiry,Thank you for reaching out! I'll be happy to provide the details regarding your product's warranty. Could you share the product model or order number so I can assist you better?
24,Unable to connect to Wi-Fi network,"I recently purchased your router, and I'm having trouble connecting it to my Wi-Fi network. I've followed the setup guide, but the device keeps showing an error saying 'Cannot establish connection'. Can someone assist me with troubleshooting this issue?",open,high,2023-10-21T15:34:56Z,Technical Support,Thank you for reaching out. Please try restarting the router and ensuring the network credentials are entered correctly. Let us know if the issue persists so we can assist further.
25,Incorrect charge on my last invoice,"I just received my invoice for this month, and I noticed an extra charge that I don’t recognize. I believe it might be a mistake. Can you please review my account and clarify this for me?",open,high,2023-10-25T14:35:22Z,Billing Issues,Thank you for reaching out. I’ve forwarded your inquiry to our billing team who will review the charge and get back to you shortly. We apologize for any inconvenience caused.
26,Inquiry about new product features,"Hello, I recently came across your product and am curious to know if there are any upcoming features planned. I’d like to understand if they align with my needs before making a purchase. Could you provide some details?",pending,normal,2023-10-23T15:34:22Z,General Inquiry,Thank you for your interest in our product! We do have some exciting features in the pipeline. I’ll follow up shortly with more details or connect you to the right person for additional information.
27,Issue accessing my account settings,"Hi, I’m trying to update my email address in the account settings, but it keeps giving me an error message saying 'Unable to process request'. Can you help me resolve this? I need this updated as soon as possible.",open,normal,2023-10-15T14:32:00Z,Account Management,"Thank you for reaching out. I’ll take a look at this issue for you and provide an update shortly. In the meantime, could you let me know the email address you’re trying to change to so I can assist further?"
28,Unable to connect to Wi-Fi network,"I recently purchased one of your smart devices, but I’m unable to connect it to my home Wi-Fi network. I’ve tried restarting my router and following the setup guide, but the issue persists. Could you please help me resolve this?",open,normal,2023-10-28T14:32:00Z,Technical Support,Thank you for reaching out to us! I’m sorry to hear about the trouble connecting. Can you confirm if you’re using a 2.4GHz Wi-Fi network and provide any error messages you’ve encountered during the setup process?
29,Defective product received in recent order,"I recently purchased a blender from your website, but it arrived with a cracked jar and doesn't power on. Can you help me get a replacement or fix this issue? Please let me know what information you need from me.",open,high,2023-10-12T14:23:45Z,Product Issues,Thank you for reaching out. I'm sorry to hear about the defective blender you received. Could you please provide your order number and a photo of the damaged product so we can assist further?
30,Unable to connect to Wi-Fi network,"I recently purchased your smart home hub, but I’m having trouble connecting it to my Wi-Fi network. I’ve followed the setup instructions, but it keeps saying 'connection failed'. Can you help me resolve this?",open,high,2023-10-25T14:32:10Z,Technical Support,"Thank you for reaching out! Could you please confirm your Wi-Fi network name and ensure you're using the correct password? Additionally, try restarting both your hub and router to see if that resolves the issue."
31,Product stopped working after one week,"I purchased your wireless headphones last week, and they initially worked fine. However, now they won't charge or turn on, despite following all troubleshooting steps in the manual. Please help resolve this issue.",open,high,2023-10-22T14:45:32Z,Product Issues,"Thank you for reporting this issue. We’re sorry to hear about the trouble with your headphones. One of our specialists will assist you shortly, and we may arrange a replacement if necessary."
32,Example issue in Account Management,Placeholder description for Account Management,pending,high,2025-10-13T13:17:27.549953,Account Management,Thanks for contacting us about your account management issue. We’ll look into it.
33,Example issue in Product Issues,Placeholder description for Product Issues,open,low,2025-09-01T13:17:37.718130,Product Issues,Thanks for contacting us about your product issues issue. We’ll look into it.
34,How do I update my account information?,"I need to update some details in my account, like my email address and phone number. Can you guide me on how to do this? Do I need to verify anything after updating?",open,normal,2023-10-18T10:15:30Z,General Inquiry,"Thank you for reaching out! You can update your account details by logging into your account, visiting the 'Settings' section, and editing the relevant fields. Let us know if you need further assistance."
35,Requesting Refund for Defective Product,"I recently purchased a blender from your website, but it arrived damaged and doesn't work properly. I’d like to return the product and get a refund. Please let me know the next steps.",pending,high,2023-10-15T14:32:00Z,Returns and Refunds,"Thank you for reaching out. We're sorry to hear about the issue with your blender. I've initiated the return process and sent you an email with a prepaid shipping label. Once we receive the product, a full refund will be processed."
36,Example issue in Billing Issues,Placeholder description for Billing Issues,pending,urgent,2025-08-14T13:17:56.641185,Billing Issues,Thanks for contacting us about your billing issues issue. We’ll look into it.
37,Defective product received in recent order,"I recently purchased a wireless keyboard from your store, but one of the keys is not functioning properly. I’ve tried troubleshooting it according to the manual, but the issue persists. Can you help resolve this issue or arrange a replacement?",open,high,2023-10-14T10:42:35Z,Product Issues,Thank you for reaching out! We’re sorry to hear about the issue with your keyboard. Please provide the order number and photos of the defective product so we can assist you further.
38,Requesting refund for a defective product,"I recently received a blender I ordered, but it arrived with a broken blade and is unusable. I would like to return the product and get a full refund. Please advise on the next steps.",pending,high,2023-10-16T14:35:23Z,Returns and Refunds,Thank you for reaching out. We're sorry to hear about the issue with your blender. We’ve initiated the return process and will send you a prepaid shipping label shortly. Please let us know if you need further assistance.
39,Duplicate charge on my credit card,I noticed that my credit card was charged twice for the same purchase I made yesterday. Can you please look into this and let me know how to fix it? I’d appreciate a quick resolution as this has caused some inconvenience.,open,high,2023-10-22T14:45:30Z,Billing Issues,"Thank you for bringing this to our attention. I’ve escalated this issue to our billing department, and they are reviewing the charges. We will update you shortly once it’s resolved."
40,Received broken product in the package,"I just received my order today, and unfortunately, one of the items is broken. It’s a ceramic vase, and it arrived with multiple cracks. I’d like a replacement or refund as soon as possible.",open,high,2023-10-30T14:20:00Z,Product Issues,We’re sorry to hear about the broken vase. We’ll arrange a replacement right away or provide a refund if that’s preferred. Please share pictures of the damaged item for our records.
41,Product arrived damaged and not working,"I recently received the wireless headphones I ordered, but they arrived with a cracked casing and the right earphone doesn't work. I'm really disappointed as I needed them urgently. How can this be resolved?",open,high,2023-11-01T15:34:12Z,Product Issues,"We’re very sorry to hear about the damaged headphones. Please provide photos of the damage, and we’ll work to process a replacement or refund as quickly as possible."
42,Package not delivered by expected date,"I placed an order two weeks ago and it was supposed to arrive last Thursday, but I still haven’t received it. Can you please check the status of my shipment and let me know when it will arrive?",pending,high,2023-10-03T14:32:45Z,Shipping and Delivery,"Thank you for reaching out. I’ve looked into your order and it appears there was a delay in transit. I’ve contacted the courier, and your package should arrive within the next two business days."
43,Example issue in General Inquiry,Placeholder description for General Inquiry,solved,normal,2025-09-13T13:18:38.098867,General Inquiry,Thanks for contacting us about your general inquiry issue. We’ll look into it.
44,Request for refund on damaged item,"I received the item I ordered last week, but it arrived damaged. I would like to request a refund or a replacement. Please let me know the next steps to resolve this issue.",pending,high,2023-10-25T14:35:00Z,Returns and Refunds,"Thank you for reaching out. We're sorry to hear about the damaged item. Please provide us with photos of the damage, and we’ll expedite the review process for a refund or replacement."
45,Inquiry about upcoming product releases,"Hi, I was wondering if you could provide any information about upcoming products or features that your company might be launching soon. I'm excited about your brand and would love to stay updated.",open,normal,2023-10-05T14:30:00Z,General Inquiry,"Thank you for your inquiry! While we can't share specifics at this time, we recommend subscribing to our newsletter or following us on social media for the latest updates on our product releases."
46,Questions about your loyalty program,"I recently saw something about your loyalty program, but I can’t seem to find detailed information on how it works. Could you provide more details on the benefits and how to enroll? Thank you!",open,normal,2023-10-16T14:32:47Z,General Inquiry,Thank you for reaching out! Our loyalty program offers exclusive discounts and rewards for repeat customers. I'll send you detailed information along with enrollment instructions shortly.
47,Request for a refund on a defective item,"I recently received a product from your store, but unfortunately, it arrived damaged. I would like to return it and request a full refund. Could you please guide me through the process?",pending,high,2023-10-14T10:32:00Z,Returns and Refunds,Thank you for reaching out. I’m sorry to hear about the issue with your item. I’ve initiated the return process and emailed you the instructions for returning the product. Please let me know if you have any questions.
48,Package not delivered as scheduled,"I was supposed to receive my package yesterday, but it still hasn't arrived. The tracking information hasn't been updated since two days ago. Can you help me locate it or provide an update?",open,normal,2023-10-20T14:32:56Z,Shipping and Delivery,Thank you for reaching out. We have escalated the issue to our shipping partner and will provide an update shortly. We apologize for the inconvenience this delay has caused.
49,Request for Refund on Defective Product,"I received the item I ordered last week, but unfortunately, it is defective and does not work as described. I would like to request a return and a full refund for the purchase. Please let me know how to proceed.",pending,high,2023-10-06T14:22:34Z,Returns and Refunds,We're sorry to hear about the issue with your order. I've initiated the return process for you and sent the return instructions to your email. Please let us know if you need additional assistance.
50,Unable to connect to WiFi on laptop,"I recently purchased a new laptop from your store, but it’s not connecting to my home WiFi network. I’ve tried restarting both the laptop and the router, but nothing seems to work. Can you help resolve this issue?",open,high,2023-10-06T14:23:45Z,Technical Support,"Thank you for reaching out! We recommend checking if the WiFi drivers on your laptop are up to date. If the issue persists, please provide the exact model of your laptop, and we’ll guide you further."
